module,level,num_communities,modularity
Louvain_recursive,1,23,0.792124
Louvain_recursive,2,42,0.478192
Louvain_hier_contractive,1,23,0.792124
Louvain_hier_contractive,2,23,0.792124
HSBM_multi,1,4,-0.082674
HSBM_multi,2,12,-0.020494
HSBM_multi,3,12,-0.045891
HSBM_multi,4,11,-0.060795
ls_multi,1,3,0.128467
ls_multi,2,21,0.294455
ls_multi,3,43,0.301947
ls_multi,4,59,0.207384
ls_multi,5,85,0.195478
Louvain_recursive,1,23,0.792124
Louvain_recursive,2,42,0.478192
Louvain_recursive,1,24,0.378055
Louvain_recursive,2,111,0.273861
