8305 37132
5879722 4957754 1
5747550 3895949 1
5994152 4746300 1
5798015 4707425 1
5643356 4634644 1
5733693 4707425 1
5645964 2936241 1
5901425 5208980 1
5643356 4048034 1
5563042 4303406 1
5709955 4737190 1
5798015 5224987 1
5660904 4269657 1
5782963 2612495 1
5928741 5122231 1
5885337 2281895 1
5837429 5219703 1
5981719 3691090 1
5856194 4895650 1
5683843 4902299 1
5660904 4306059 1
5928741 4172154 1
5739256 3935320 1
5782963 3547646 1
5782963 1955898 1
5681380 4148658 1
5573854 4861924 1
5817744 5087701 1
5563042 4540670 1
5885337 3647467 1
5957898 4177814 1
5885337 4390616 1
5573854 4128574 1
5856194 4988618 1
5994152 4732313 1
5714566 4798685 1
5705574 4365068 1
5611186 3626439 1
5733693 5509957 1
5707474 4378271 1
5851634 2629667 1
5800647 5346541 1
5981719 5654010 1
5865471 4831068 1
5665442 4406703 1
5610317 4861855 1
5753308 4879173 1
5739256 4166168 1
5795784 4788150 1
5733693 2154996 1
5733693 3660542 1
5837429 4902787 1
5580624 1427103 1
5545450 5272181 1
5631053 4919758 1
5721287 4239843 1
5837429 3595659 1
5998220 4180383 1
5721287 5429628 1
5756597 4663423 1
5987245 5499343 1
5891229 4171977 1
5797877 4261339 1
5738921 5035930 1
5618907 4812588 1
5994152 4374457 1
5658603 4470877 1
5709913 5049237 1
5714566 4826927 1
5786132 4925770 1
5714566 4297472 1
5582670 3470005 1
5879722 5035930 1
5700850 1013544 1
5658603 4379198 1
5709913 4957558 1
5786132 3385700 1
5808797 5523878 1
5969079 4038261 1
5887243 3733430 1
5786132 3563931 1
5721287 5227022 1
5817744 4737550 1
5847734 4765657 1
5683843 3595655 1
5645964 3133049 1
5944715 1366756 1
5851634 4524828 1
5611186 4198257 1
5928741 5248702 1
5665442 4279695 1
5989237 4787429 1
5928741 4836940 1
5837429 3071815 1
5733693 1803906 1
5786132 4229172 1
5545450 4133619 1
5709955 5250109 1
5885337 2090511 1
5580624 4410571 1
5618907 4764427 1
5705238 5248702 1
5658603 5411639 1
5773182 4956254 1
5994152 4546406 1
5908495 3671251 1
5545450 5340558 1
5631053 4362679 1
5714566 3879428 1
5989237 5257985 1
5705238 4892590 1
